Team 1,FT,Team 2
Bayern München (1),2-2,Hertha BSC (11)
Werder Bremen (1),1-3,Fortuna Düsseldorf (10)
SC Freiburg (1),3-0,1. FSV Mainz 05 (11)
Bayer 04 Leverkusen (10),3-2,SC Paderborn 07 (2)
Borussia Dortmund (1),5-1,FC Augsburg (1)
VfL Wolfsburg (1),2-1,1. FC Köln (1)
Bor. Mönchengladbach (1),0-0,FC Schalke 04 (1)
Eintracht Frankfurt (11),1-0,TSG 1899 Hoffenheim (1)
1. FC Union Berlin (1),0-4,RB Leipzig (1)
1. FC Köln (1),1-3,Borussia Dortmund (1)
Fortuna Düsseldorf (10),1-3,Bayer 04 Leverkusen (10)
1. FSV Mainz 05 (11),1-3,Bor. Mönchengladbach (1)
FC Augsburg (1),1-1,1. FC Union Berlin (1)
SC Paderborn 07 (2),1-3,SC Freiburg (1)
TSG 1899 Hoffenheim (1),3-2,Werder Bremen (1)
FC Schalke 04 (1),0-3,Bayern München (1)
RB Leipzig (1),2-1,Eintracht Frankfurt (11)
Hertha BSC (11),0-3,VfL Wolfsburg (1)
Bor. Mönchengladbach (1),1-3,RB Leipzig (1)
FC Schalke 04 (1),3-0,Hertha BSC (11)
SC Freiburg (1),1-2,1. FC Köln (1)
Bayer 04 Leverkusen (10),0-0,TSG 1899 Hoffenheim (1)
Bayern München (1),6-1,1. FSV Mainz 05 (11)
VfL Wolfsburg (1),1-1,SC Paderborn 07 (2)
1. FC Union Berlin (1),3-1,Borussia Dortmund (1)
Werder Bremen (1),3-2,FC Augsburg (1)
Eintracht Frankfurt (11),2-1,Fortuna Düsseldorf (10)
Fortuna Düsseldorf (10),1-1,VfL Wolfsburg (1)
1. FC Köln (1),0-1,Bor. Mönchengladbach (1)
Borussia Dortmund (1),4-0,Bayer 04 Leverkusen (10)
1. FSV Mainz 05 (11),2-1,Hertha BSC (11)
1. FC Union Berlin (1),1-2,Werder Bremen (1)
FC Augsburg (1),2-1,Eintracht Frankfurt (11)
RB Leipzig (1),1-1,Bayern München (1)
TSG 1899 Hoffenheim (1),0-3,SC Freiburg (1)
SC Paderborn 07 (2),1-5,FC Schalke 04 (1)
FC Schalke 04 (1),2-1,1. FSV Mainz 05 (11)
SC Freiburg (1),1-1,FC Augsburg (1)
Bayer 04 Leverkusen (10),2-0,1. FC Union Berlin (1)
Bayern München (1),4-0,1. FC Köln (1)
Hertha BSC (11),2-1,SC Paderborn 07 (2)
Werder Bremen (1),0-3,RB Leipzig (1)
Bor. Mönchengladbach (1),2-1,Fortuna Düsseldorf (10)
Eintracht Frankfurt (11),2-2,Borussia Dortmund (1)
VfL Wolfsburg (1),1-1,TSG 1899 Hoffenheim (1)
1. FC Union Berlin (1),1-2,Eintracht Frankfurt (11)
1. FSV Mainz 05 (11),0-1,VfL Wolfsburg (1)
FC Augsburg (1),0-3,Bayer 04 Leverkusen (10)
SC Paderborn 07 (2),2-3,Bayern München (1)
TSG 1899 Hoffenheim (1),0-3,Bor. Mönchengladbach (1)
RB Leipzig (1),1-3,FC Schalke 04 (1)
Borussia Dortmund (1),2-2,Werder Bremen (1)
Fortuna Düsseldorf (10),1-2,SC Freiburg (1)
1. FC Köln (1),0-4,Hertha BSC (11)
FC Schalke 04 (1),1-1,1. FC Köln (1)
SC Freiburg (1),2-2,Borussia Dortmund (1)
Bayer 04 Leverkusen (10),1-1,RB Leipzig (1)
Bayern München (1),1-2,TSG 1899 Hoffenheim (1)
Bor. Mönchengladbach (1),5-1,FC Augsburg (1)
VfL Wolfsburg (1),1-0,1. FC Union Berlin (1)
Hertha BSC (11),3-1,Fortuna Düsseldorf (10)
Eintracht Frankfurt (11),2-2,Werder Bremen (1)
SC Paderborn 07 (2),1-2,1. FSV Mainz 05 (11)
Werder Bremen (1),1-1,Hertha BSC (11)
Fortuna Düsseldorf (10),1-0,1. FSV Mainz 05 (11)
1. FC Köln (1),3-0,SC Paderborn 07 (2)
Borussia Dortmund (1),1-0,Bor. Mönchengladbach (1)
Eintracht Frankfurt (11),3-0,Bayer 04 Leverkusen (10)
1. FC Union Berlin (1),2-0,SC Freiburg (1)
FC Augsburg (1),2-2,Bayern München (1)
TSG 1899 Hoffenheim (1),2-0,FC Schalke 04 (1)
RB Leipzig (1),1-1,VfL Wolfsburg (1)
FC Schalke 04 (1),0-0,Borussia Dortmund (1)
SC Freiburg (1),2-1,RB Leipzig (1)
Bayer 04 Leverkusen (10),2-2,Werder Bremen (1)
Bayern München (1),2-1,1. FC Union Berlin (1)
Bor. Mönchengladbach (1),4-2,Eintracht Frankfurt (11)
VfL Wolfsburg (1),0-0,FC Augsburg (1)
Hertha BSC (11),2-3,TSG 1899 Hoffenheim (1)
1. FSV Mainz 05 (11),3-1,1. FC Köln (1)
SC Paderborn 07 (2),2-0,Fortuna Düsseldorf (10)
Werder Bremen (1),2-2,SC Freiburg (1)
Bayer 04 Leverkusen (10),1-2,Bor. Mönchengladbach (1)
Fortuna Düsseldorf (10),2-0,1. FC Köln (1)
Borussia Dortmund (1),3-0,VfL Wolfsburg (1)
Eintracht Frankfurt (11),5-1,Bayern München (1)
1. FC Union Berlin (1),1-0,Hertha BSC (11)
FC Augsburg (1),2-3,FC Schalke 04 (1)
TSG 1899 Hoffenheim (1),3-0,SC Paderborn 07 (2)
RB Leipzig (1),8-0,1. FSV Mainz 05 (11)
FC Schalke 04 (1),3-3,Fortuna Düsseldorf (10)
SC Freiburg (1),1-0,Eintracht Frankfurt (11)
Bayern München (1),4-0,Borussia Dortmund (1)
Bor. Mönchengladbach (1),3-1,Werder Bremen (1)
1. FC Köln (1),1-2,TSG 1899 Hoffenheim (1)
VfL Wolfsburg (1),0-2,Bayer 04 Leverkusen (10)
Hertha BSC (11),2-4,RB Leipzig (1)
1. FSV Mainz 05 (11),2-3,1. FC Union Berlin (1)
SC Paderborn 07 (2),0-1,FC Augsburg (1)
Werder Bremen (1),1-2,FC Schalke 04 (1)
Bayer 04 Leverkusen (10),1-1,SC Freiburg (1)
Fortuna Düsseldorf (10),0-4,Bayern München (1)
Borussia Dortmund (1),3-3,SC Paderborn 07 (2)
Eintracht Frankfurt (11),0-2,VfL Wolfsburg (1)
1. FC Union Berlin (1),2-0,Bor. Mönchengladbach (1)
FC Augsburg (1),1-1,Hertha BSC (11)
TSG 1899 Hoffenheim (1),1-5,1. FSV Mainz 05 (11)
RB Leipzig (1),4-1,1. FC Köln (1)
FC Schalke 04 (1),2-1,1. FC Union Berlin (1)
Bayern München (1),1-2,Bayer 04 Leverkusen (10)
Bor. Mönchengladbach (1),4-2,SC Freiburg (1)
1. FC Köln (1),1-1,FC Augsburg (1)
VfL Wolfsburg (1),2-3,Werder Bremen (1)
Hertha BSC (11),1-2,Borussia Dortmund (1)
1. FSV Mainz 05 (11),2-1,Eintracht Frankfurt (11)
SC Paderborn 07 (2),2-3,RB Leipzig (1)
TSG 1899 Hoffenheim (1),1-1,Fortuna Düsseldorf (10)
Werder Bremen (1),1-2,SC Paderborn 07 (2)
SC Freiburg (1),1-0,VfL Wolfsburg (1)
Bayer 04 Leverkusen (10),2-1,FC Schalke 04 (1)
Bor. Mönchengladbach (1),2-1,Bayern München (1)
Borussia Dortmund (1),5-0,Fortuna Düsseldorf (10)
Eintracht Frankfurt (11),2-2,Hertha BSC (11)
1. FC Union Berlin (1),2-0,1. FC Köln (1)
FC Augsburg (1),2-1,1. FSV Mainz 05 (11)
RB Leipzig (1),3-1,TSG 1899 Hoffenheim (1)
FC Schalke 04 (1),1-0,Eintracht Frankfurt (11)
Fortuna Düsseldorf (10),0-3,RB Leipzig (1)
Bayern München (1),6-1,Werder Bremen (1)
1. FC Köln (1),2-0,Bayer 04 Leverkusen (10)
VfL Wolfsburg (1),2-1,Bor. Mönchengladbach (1)
Hertha BSC (11),1-0,SC Freiburg (1)
1. FSV Mainz 05 (11),0-4,Borussia Dortmund (1)
SC Paderborn 07 (2),1-1,1. FC Union Berlin (1)
TSG 1899 Hoffenheim (1),2-4,FC Augsburg (1)
Werder Bremen (1),0-5,1. FSV Mainz 05 (11)
SC Freiburg (1),1-3,Bayern München (1)
Bayer 04 Leverkusen (10),0-1,Hertha BSC (11)
Bor. Mönchengladbach (1),2-0,SC Paderborn 07 (2)
Borussia Dortmund (1),3-3,RB Leipzig (1)
VfL Wolfsburg (1),1-1,FC Schalke 04 (1)
Eintracht Frankfurt (11),2-4,1. FC Köln (1)
1. FC Union Berlin (1),0-2,TSG 1899 Hoffenheim (1)
FC Augsburg (1),3-0,Fortuna Düsseldorf (10)
FC Schalke 04 (1),2-2,SC Freiburg (1)
Fortuna Düsseldorf (10),2-1,1. FC Union Berlin (1)
Bayern München (1),2-0,VfL Wolfsburg (1)
1. FC Köln (1),1-0,Werder Bremen (1)
Hertha BSC (11),0-0,Bor. Mönchengladbach (1)
1. FSV Mainz 05 (11),0-1,Bayer 04 Leverkusen (10)
SC Paderborn 07 (2),2-1,Eintracht Frankfurt (11)
TSG 1899 Hoffenheim (1),2-1,Borussia Dortmund (1)
